Timestamp,Are you a native or non-native English speaker?,What is your principal field of study?  ,"Have you ever heard of Artificial Intelligence (AI) tools, such as ChatGPT, Grammarly, Claude, etc.?  ","Do you use AI tools (such as ChatGPT, Grammarly, or any other AI tool) in your academic life? Please answer 'Yes' even if you use them only rarely; you will have the opportunity to specify how often in the next question.  ","How frequently do you use AI tools (e.g., ChatGPT, Grammarly, Claude, etc.)? A rating of 1 indicates very rare use, while a rating of 5 indicates daily use. Higher numbers represent more frequent usage.  ",For which specific purposes do you use these AI tools? (Select all that apply)  ,Which AI tool do you use most frequently?  (Select all that apply),Do you consent to participate in this study?
10/18/2024 16:04:22,Native English Speaker,Education,Yes,Yes,2,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Organizing Notes and Information",Grammarly,I do consent
10/18/2024 16:05:11,Native English Speaker,Education,Yes,Yes,1,Proofreading and Grammar Checking,Grammarly,I do consent
10/18/2024 16:05:12,Native English Speaker,Mathematics,Yes,Yes,3,"Proofreading and Grammar Checking, Coding or Debugging Assistance",ChatGPT,I do consent
10/18/2024 16:05:18,Native English Speaker,Biology,Yes,No,1,"Proofreading and Grammar Checking, Language Translation",ChatGPT,I do consent
10/18/2024 16:05:19,Native English Speaker,Education,Yes,Yes,1,"Generating Ideas or Brainstorming, Learning and Studying new topics",ChatGPT,I do consent
10/22/2024 23:37:29,,,,,,,,I do NOT consent
10/23/2024 17:42:47,Native English Speaker,Biology,Yes,Yes,1,Proofreading and Grammar Checking,Grammarly,I do consent
10/23/2024 17:43:04,Native English Speaker,,No,No,2,Solving Mathematical Problems,Quizard,I do consent
10/23/2024 17:43:34,Native English Speaker,Art,Yes,No,2,Solving Mathematical Problems,,I do consent
10/23/2024 17:43:46,Native English Speaker,Music,Yes,Yes,5,Proofreading and Grammar Checking,Grammarly,I do consent
10/23/2024 17:45:44,Native English Speaker,Chemestry,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Coding or Debugging Assistance, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
10/23/2024 18:43:00,Native English Speaker,Education,Yes,Yes,2,Proofreading and Grammar Checking,Grammarly,I do consent
10/23/2024 18:43:01,Native English Speaker,Art,Yes,Yes,4,"Proofreading and Grammar Checking, Solving Mathematical Problems",Photomath,I do consent
10/23/2024 18:44:46,Native English Speaker,Computer Science,Yes,Yes,2,Solving Mathematical Problems,Gauth,I do consent
10/23/2024 18:45:27,Native English Speaker,Nursing,Yes,Yes,3,"Proofreading and Grammar Checking, Generating Ideas or Brainstorming, Learning and Studying new topics, Language Translation, Typing Emails","ChatGPT, Grammarly, QuillBot, Snapchat AI",I do consent
10/25/2024 20:04:27,Native English Speaker,Education,Yes,Yes,2,"Generating Ideas or Brainstorming, Learning and Studying new topics, Organizing Notes and Information","ChatGPT, Grammarly",I do consent
10/25/2024 20:05:29,Native English Speaker,Psychology,Yes,No,,,,I do consent
10/28/2024 4:03:14,Native English Speaker,Biology,Yes,Yes,1,"Proofreading and Grammar Checking, Solving Mathematical Problems",Grammarly,I do consent
